Model,Best_Params,R2 para F1 (macro averaged by label),R2 para Model Size Log,RMSE para F1 (macro averaged by label),RMSE para Model Size Log
Ridge Regression,{'multioutputregressor__estimator__alpha': 7.0},0.7511,0.9431,0.0738,0.5115
RandomForest Regression,"{'multioutputregressor__estimator__n_estimators': 500, 'multioutputregressor__estimator__min_samples_split': 5, 'multioutputregressor__estimator__min_samples_leaf': 1, 'multioutputregressor__estimator__max_features': 'sqrt', 'multioutputregressor__estimator__max_depth': 40, 'multioutputregressor__estimator__bootstrap': False}",0.9108,0.9872,0.0442,0.2427
